,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Arfgef1,1,0.59987589502821,0.46405474522198,0.59987589502821,0.801438406140787,0.655324322802652,0.681070038166638,0.838264685337108,0.838264685337108,0.138743853417262,0.138743853417262,0.932889737013704,0.483076013643189,0.484990805300881,0.909361751597707,0.696071772153512,0.0053560148439945,0.696310278262013,0.368977557193821,0.129148195115069,1.29782593339991e-07,2.70273683592017e-08,0.000255272083075616,0.000255272083075616,0.00366869195158498,0.0217688141690807,0.0217688141690807,0.355307490237424,0.720772397834707,0.314003789495046,0.158688986192616,0.493310005488525,0.963059675834485,0.941849409305564,0.90397442668955,0.921393884208292,0.109965703275136,5.23266920745103e-05,5.23266920745103e-05,0.00174212816571368,0.154709269966923,0.154709269966923,0.154709269966923,0.154709269966923,0.0346277635066774,0.324647257559183,0.378570386293303,0.0281254397841392,0.217609408631027,0.298089769858377,0.568029828895362,0.560732054371865,0.740274092650768,0.218156014355185,0.207732092470849,0.0867690001895014,0.0583719363338158,0.0583719363338158,0.59463787061732,0.773997911337477,0.357688719427066,0.0168065996599437,0.229098758414166,0.819478603978558,0.922561535378251
Myo1b,0.59987589502821,1,0.298241712504482,0.32251369305933,0.683464626923926,0.966243258831793,0.943453817890258,0.816293745006533,0.851349931121091,0.550836961236083,0.636943942443548,0.668211959878987,0.286993081643512,0.281829529530124,0.658987954816164,0.857466976654559,0.143424185404825,0.298799347991474,0.807829724336942,0.285393133043322,0.0792155647693176,0.0539897467164904,0.124535174465235,0.124535174465235,0.408072836119268,0.697287481105477,0.697287481105477,0.183556022507611,0.940200527088481,0.658675508766816,0.440425468202147,0.864451547227385,0.271246566447254,0.211786341659276,0.221233972094782,0.420939490577981,0.444851310106735,0.370425501770291,0.370425501770291,0.951039405963838,0.542159207017392,0.542159207017392,0.542159207017392,0.542159207017392,0.312517947340411,0.503702356581811,0.48643068855972,0.20418582474792,0.306794979688067,0.524963039076872,0.941587442549446,0.996338491211872,0.9210295110846,0.495689599868128,0.5154917157015,0.983619048765712,0.874428247310656,0.874428247310656,0.896594946866542,0.700029206806943,0.702925298352229,0.128254716878888,0.110962413582542,0.447564456962873,0.683020590551997
Gm973,0.46405474522198,0.298241712504482,1,0.298241712504482,0.298241712504482,0.922128318358172,0.965283534766535,0.72675749179359,0.72675749179359,0.797916971283873,0.961151964481387,0.185249204069941,0.185249204069941,0.141406191688225,0.141406191688225,0.0422807127328807,0.348727127908038,0.729779259001294,0.501570248347731,0.526382050498,0.00516248812208874,0.0527036530351175,0.240361873030891,0.240361873030891,0.390634801941303,0.426069795563563,0.426069795563563,0.941476536890602,0.354736600368777,0.878623659565601,0.753265405508608,0.951675705021779,0.951675705021779,0.951675705021779,0.964622972190994,0.722090447506266,0.829450631070391,0.419213191071124,0.419213191071124,0.384719665779238,0.662584371795292,0.662584371795292,0.662584371795292,0.662584371795292,0.768880597841448,0.801609161426519,0.771462678244483,0.482157924834364,0.02635889960305,0.559759255574028,0.647432379595909,0.598395447766559,0.598395447766559,0.690558554431223,0.419297948919364,0.345647069616233,0.573370803992709,0.573370803992709,0.73548600086845,0.258003988766825,0.824223976639269,0.454145226127297,0.509161227229987,0.163783257561429,0.256115439446506
Cyp20a1,0.59987589502821,0.32251369305933,0.298241712504482,1,0.748913196157615,0.9095713703197,0.886394464283135,0.760187349956359,0.805580907525321,0.625971959301124,0.704737338099848,0.759565196439149,0.341124349689913,0.330745931411782,0.745238786289708,0.955386948164266,0.143424185404825,0.298799347991474,0.807829724336942,0.285393133043322,0.0792155647693176,0.0656774073036105,0.135577824307383,0.135577824307383,0.449841323090532,0.62307032279237,0.62307032279237,0.157987756344018,0.876251958676554,0.722172542229817,0.570667405987131,0.995165836339538,0.233918606258483,0.200473266589205,0.216741720008761,0.377004353368284,0.444851310106735,0.50304221479123,0.50304221479123,0.837796742039736,0.542159207017392,0.542159207017392,0.542159207017392,0.542159207017392,0.312517947340411,0.442487846265958,0.422133715266157,0.235595560889491,0.261720044491444,0.454323238548869,0.941587442549446,0.937426025356764,0.874433419866245,0.495689599868128,0.5154917157015,0.934864794180648,0.874428247310656,0.874428247310656,0.998002284524412,0.767722219157705,0.755527612653718,0.139562695889414,0.110962413582542,0.512933224792657,0.776021980889769
Cxcr1,0.801438406140787,0.683464626923926,0.298241712504482,0.748913196157615,1,0.524483171593597,0.497772488087723,0.311459795528032,0.339504947964097,0.825597998384386,0.813510969309897,0.939195518492327,0.65136551072855,0.639550033143218,0.948704593219175,0.627596252102587,0.435896291371246,0.165790869938207,0.820413978921149,0.181449264911665,0.157831452609838,0.172027746329764,0.393788690251505,0.393788690251505,0.831067120507369,0.547553922100614,0.547553922100614,0.107234982915753,0.417159092131702,0.741762246674932,0.952627773460767,0.571412562177256,0.216741720008761,0.216741720008761,0.216741720008761,0.262462883785548,0.990113081384376,0.889519297134515,0.889519297134515,0.796867501337582,0.984081395983053,0.984081395983053,0.984081395983053,0.984081395983053,0.779945490411151,0.401712391611147,0.401712391611147,0.572119277196165,0.199472578623003,0.432201059447214,0.560576209726562,0.39714982191346,0.409503820884464,0.828608851764451,0.810364637873979,0.929749064750775,0.874682120961624,0.874682120961624,0.664132358588763,0.633531702767807,0.811790944311402,0.430882942747687,0.316217612076712,0.990739040838379,0.883112004960158
Zp3r,0.655324322802652,0.966243258831793,0.922128318358172,0.9095713703197,0.524483171593597,1,0.726571113537851,0.652192304493972,0.654444139673414,0.634465943681479,0.711394033801078,0.582508421074074,0.878671829856906,0.896577683660802,0.592468846437624,0.401108898342924,0.105619788071896,0.818277936907814,0.884250767221688,0.519496938136202,0.000510856576693976,0.000993651724385654,0.0749127117339892,0.0749127117339892,0.187479046634861,0.274353366232394,0.274353366232394,0.834936252668098,0.901912556914868,0.808740602737391,0.706116319383892,0.903611991164801,0.608986597893647,0.618503637879938,0.665526423372616,0.824440016597198,0.334603517573332,0.188995849537666,0.188995849537666,0.0450211671880424,0.74807045136982,0.74807045136982,0.74807045136982,0.74807045136982,0.484912822028643,0.815652006218558,0.815779342473089,0.226754017354885,0.169835848254878,0.907630148138262,0.908338657148948,0.981843314847469,0.858743303789665,0.297509699833513,0.236740923604365,0.176292929205719,0.589054458616527,0.589054458616527,0.910542257175106,0.430445946527723,0.832166439238843,0.24449622744034,0.803525693235322,0.847215760350368,0.593074944130687
Cacna1s,0.681070038166638,0.943453817890258,0.965283534766535,0.886394464283135,0.497772488087723,0.726571113537851,1,0.668155182053891,0.670407674488366,0.634465943681479,0.711394033801078,0.566343945124822,0.86079284707582,0.890733380122206,0.592426873732529,0.38633203278174,0.105619788071896,0.834330659702574,0.90713422321514,0.500642573159558,0.000510856576693976,0.000993651724385654,0.0800484353535668,0.0800484353535668,0.19687497744729,0.289419413714054,0.289419413714054,0.874511505856342,0.901912556914868,0.83034993472528,0.724401691626369,0.884875462207083,0.592539333414548,0.59813641036826,0.642448247876733,0.775715693044609,0.371907982490495,0.175819065478054,0.175819065478054,0.0400518125326815,0.734180549619468,0.734180549619468,0.734180549619468,0.734180549619468,0.470734491884417,0.84206823756074,0.84501344322279,0.241418548830086,0.161934222021219,0.89043851059166,0.968205877087855,0.979670361397326,0.831413669685543,0.333655637730321,0.285980580334181,0.195234602076692,0.579507260258909,0.579507260258909,0.910542257175106,0.421905680283639,0.897646776500038,0.25948745466033,0.829509685915775,0.862738038086906,0.578311078913336
Atf6,0.838264685337108,0.816293745006533,0.72675749179359,0.760187349956359,0.311459795528032,0.652192304493972,0.668155182053891,1,0.483477989215237,0.820087335802074,0.850591187014752,0.681806452604433,0.9873508149496,0.892961619814886,0.800356220124837,0.284837544601556,0.0178702206939111,0.65716987777701,0.963658230232923,0.615115928068172,1.1140448559606e-05,6.76455656601767e-05,0.00855189123972884,0.00855189123972884,0.0533833718988598,0.182243306943544,0.182243306943544,0.72388647319842,0.546274996564119,0.925433904272736,0.473983237411191,0.801034107317382,0.518467118213849,0.489650796260944,0.508938948639006,0.552553280962608,0.755573925360854,0.115143359331957,0.115143359331957,0.0338247898194764,0.443095187697707,0.443095187697707,0.443095187697707,0.443095187697707,0.326789102229907,0.861830757034734,0.862620438314314,0.221458481303347,0.0741273169945108,0.73620539502998,0.63236438811757,0.583637275724184,0.532646406094359,0.655039578833662,0.572479990308858,0.246043570953192,0.56997327001648,0.56997327001648,0.748965216037261,0.313253811398788,0.984336701075594,0.168045473948208,0.663315085675541,0.582334167547279,0.682614032994745
Fmn2,0.838264685337108,0.851349931121091,0.72675749179359,0.805580907525321,0.339504947964097,0.654444139673414,0.670407674488366,0.483477989215237,1,0.820087335802074,0.850591187014752,0.729297085544344,0.991507570272414,0.905705692642084,0.831467947791635,0.388132540229106,0.0178702206939111,0.669915712717907,0.972395344246007,0.620423639083873,7.63340736221445e-05,6.76455656601767e-05,0.0154662168481268,0.0154662168481268,0.0723400803483442,0.214997076389596,0.214997076389596,0.728553657022075,0.546274996564119,0.925433904272736,0.473983237411191,0.801034107317382,0.518467118213849,0.489650796260944,0.508938948639006,0.55971291971727,0.755573925360854,0.119944798165973,0.119944798165973,0.0338247898194764,0.467627153569454,0.467627153569454,0.467627153569454,0.467627153569454,0.326789102229907,0.861830757034734,0.862620438314314,0.221458481303347,0.0935628211538149,0.73620539502998,0.635270712988785,0.586667142349188,0.580098633268411,0.665166866645609,0.586034488027436,0.312936918358884,0.56997327001648,0.56997327001648,0.754228975386945,0.336667522508804,0.987279838412451,0.197644974902428,0.684467503652134,0.604550424328759,0.717332394521395
Clic3,0.138743853417262,0.550836961236083,0.797916971283873,0.625971959301124,0.825597998384386,0.634465943681479,0.634465943681479,0.820087335802074,0.820087335802074,1,0.732642695470088,0.915156038157014,0.641966371430763,0.764622834230924,0.791572898299737,0.491736457181028,0.0168603451532447,0.846349710631176,0.579509635008474,0.0734314611557374,1.32463284793908e-07,6.18733812208362e-07,5.66540922218194e-06,5.66540922218194e-06,0.000109190948249695,0.0211032795528316,0.0211032795528316,0.613721896017076,0.777398472614814,0.44778208144071,0.366056310430454,0.584546591204623,0.982089856448622,0.988424366578281,0.782175051653943,0.739206247279034,0.173908553592173,0.043767350263909,0.043767350263909,0.0395442922297271,0.106185022277034,0.106185022277034,0.106185022277034,0.106185022277034,0.0927354048219003,0.980108234346791,0.970439558049216,0.465065152302008,0.278787261742784,0.531202037829623,0.440280187177227,0.543250387611536,0.737354704613557,0.58876476319265,0.195421378948539,0.375760757600427,0.570576819231886,0.570576819231886,0.648992466973044,0.729622837422648,0.417733571315162,0.238633451620549,0.63640804685323,0.87198645262745,0.995540484131084
