,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Arfgef1,1,0.0657138291434941,0.669821005918354,0.150235083206947,0.1399069374485,0.762849185283894,0.795194419901236,0.762792451901886,0.789777504593006,0.543493771730636,0.435538023555022,0.627338697380754,0.627338697380754,0.439807998376709,0.439807998376709,0.639354106465501,0.180296205626389,0.869171940287507,0.237242345956818,0.774133566815905,0.0181390421662431,0.0364126109837948,0.0441971766797834,0.0441971766797834,0.121363926028454,0.391043818536763,0.391043818536763,0.623567840429176,0.306007727071356,0.294213557515624,0.0983304848231889,0.496316373231401,0.971110710036733,0.950635733104462,0.893206209157673,0.609414689550187,0.248518473441335,0.0163251077734117,0.0163251077734117,0.0898539063985212,0.0266923041982145,0.0266923041982145,0.0266923041982145,0.0266923041982145,0.074725257896332,0.795411604980069,0.831204780842163,0.205825996821457,0.415638257730319,0.701333609618208,0.339307215235867,0.291564798973256,0.325669447648475,0.468635076521037,0.584572233962678,0.39601471511192,0.490761325855546,0.490761325855546,0.400508129961721,0.662285671449006,0.247452692147634,0.347748667016586,0.923617692584406,0.903043828880209,0.513692946188391
Myo1b,0.0657138291434941,1,0.12581400126063,0.780878186536825,0.835775941739861,0.182825088713362,0.163456899448217,0.191380931609817,0.191380931609817,0.598657629048739,0.689208527347839,0.0827864098343029,0.0827864098343029,0.0633638178373354,0.0633638178373354,0.155055205057316,0.931214891471594,0.0439489880415111,0.979513524516116,0.00385667020749757,0.27529710342571,0.348642599404223,0.346205166969442,0.346205166969442,0.420053846180774,0.05397870566723,0.05397870566723,0.0245666264595104,0.723979988088331,0.727813302201594,0.792200984274647,0.597530769395347,0.0806426609950714,0.0720939617521867,0.064622439988563,0.127293504204148,0.796440663940242,0.904276157711417,0.904276157711417,0.140299502136825,0.913183787470615,0.913183787470615,0.913183787470615,0.913183787470615,0.988960836740059,0.182163787546369,0.154955804165527,0.937210833421514,0.817622863300681,0.107398839760041,0.542952644458682,0.909571795763953,0.909571795763953,0.634196710250482,0.31880225461316,0.231051156528382,0.241631664249261,0.241631664249261,0.775641431133132,0.507494434032983,0.731102584400246,0.742148163126311,0.266403004295789,0.0988787440395741,0.0904191201725254
Gm973,0.669821005918354,0.12581400126063,1,0.133040856283462,0.390106248184941,0.603797678486778,0.650368439116308,0.833050696279067,0.853215033328913,0.730393682941363,0.883895408113116,0.438475257671139,0.193644525993849,0.29200781311917,0.559754491262669,0.283123730612314,0.425357472716672,0.84823057806686,0.676134271741156,0.660281561540187,0.61142015949205,0.706319003897753,0.813536161977928,0.813536161977928,0.6283083114703,0.209739522573232,0.209739522573232,0.717961863834265,0.757603875085226,0.865900499369185,0.70880848881239,0.820745507235958,0.368817477208262,0.3243838225982,0.280349585887719,0.518500801589284,0.565982316426845,0.610581409929991,0.610581409929991,0.389317986061846,0.777841322220868,0.777841322220868,0.777841322220868,0.777841322220868,0.987600252549589,0.372292696298198,0.351665262734796,0.311838230747111,0.414222675612016,0.131470469518971,0.704740979507684,0.825083377463156,0.999864452480389,0.875667947981502,0.662232865756013,0.0802406096088643,0.150974810397943,0.150974810397943,0.913468860124418,0.075585766661931,0.802598382215155,0.959030104130574,0.095054595620159,0.0359957888096387,0.444178821398291
Cyp20a1,0.150235083206947,0.780878186536825,0.133040856283462,1,0.968130858692128,0.125104663037965,0.109610881058445,0.139754920010044,0.139754920010044,0.548519617632574,0.625924173874901,0.0598322266824067,0.0598322266824067,0.0444185245223611,0.0444185245223611,0.157418211521902,0.979498585264948,0.0543251542200259,0.90748294526449,0.00649928526465766,0.34942674542778,0.288181465255497,0.250161755325483,0.250161755325483,0.345677414640523,0.0399795410208107,0.0399795410208107,0.0198079159272627,0.64069884460613,0.635146142007637,0.934350187407774,0.40406303564234,0.0279107724907508,0.0257245049994535,0.0201044249229558,0.102919735763745,0.886642442813201,0.748850354411444,0.748850354411444,0.117743582632768,0.968082948066836,0.968082948066836,0.968082948066836,0.968082948066836,0.8969725088183,0.169380019675887,0.139543883460586,0.998145005041356,0.747632930954902,0.0874751041472539,0.638099402448191,0.839268689513852,0.839268689513852,0.712209901512599,0.412982370850433,0.193755855166336,0.263992137494182,0.263992137494182,0.599261768141717,0.582817946742215,0.611037813911735,0.666386990616979,0.22533336498707,0.146043676529376,0.0617899632051315
Cxcr1,0.1399069374485,0.835775941739861,0.390106248184941,0.968130858692128,1,0.154035191492499,0.136371178906224,0.192971869245782,0.192971869245782,0.54575453749283,0.636382411429272,0.11703941732578,0.11703941732578,0.138502979305481,0.138502979305481,0.161739013880741,0.993391186400594,0.180338156926242,0.895688672895848,0.0355977892335858,0.392156650619039,0.292281886403044,0.321277660517511,0.321277660517511,0.386819958661012,0.144706345846559,0.144706345846559,0.0723679969715344,0.568070903708715,0.628292623681829,0.882291520016472,0.465731482228025,0.128227422112414,0.0652525273945086,0.0197994159958694,0.351818145176051,0.850161542084077,0.700319672908385,0.700319672908385,0.332720136522618,0.95511490568774,0.95511490568774,0.95511490568774,0.95511490568774,0.952588160621697,0.314829161611597,0.268595616563853,0.985672537659633,0.672349452189225,0.205159493259672,0.579198291952707,0.821664818581647,0.821664818581647,0.735578190326565,0.582075420671698,0.533419288312355,0.551350520424086,0.551350520424086,0.718654309091994,0.629296671724981,0.681368972882544,0.615402288152204,0.212175332856257,0.175183039756967,0.0827938887718171
Zp3r,0.762849185283894,0.182825088713362,0.603797678486778,0.125104663037965,0.154035191492499,1,0.852182455182502,0.930925521857946,0.930925521857946,0.666759149346089,0.447780875252096,0.956428449876658,0.956428449876658,0.794827011035956,0.794827011035956,0.870459390568378,0.179832579976627,0.834568460698958,0.247726935917367,0.687149179643743,0.0361601371883728,0.0431863176403387,0.0604283482900434,0.0604283482900434,0.0604283482900434,0.344295168610836,0.344295168610836,0.728596735986349,0.350959917190136,0.302322951037868,0.0746324999127021,0.544845581569948,0.806473556850915,0.827352013012634,0.845249298547565,0.618835280672015,0.245376997872957,0.0432603207966883,0.0432603207966883,0.10396137399812,0.0960052908506133,0.0960052908506133,0.0960052908506133,0.0960052908506133,0.0551546823818869,0.834145052568191,0.865254771987882,0.231956198213959,0.299532399179171,0.772132109967873,0.28026002953336,0.248321742291186,0.248321742291186,0.445738064993187,0.425035402521771,0.336417533723888,0.295872500158475,0.295872500158475,0.471601354423349,0.292178858018392,0.362389042428884,0.354789681626022,0.781423375878104,0.869474860554811,0.731502418145404
Cacna1s,0.795194419901236,0.163456899448217,0.650368439116308,0.109610881058445,0.136371178906224,0.852182455182502,1,0.901659559080939,0.901659559080939,0.641560799609822,0.426850583172832,0.989916129398889,0.989916129398889,0.782810142176706,0.782810142176706,0.898146836210718,0.167185883600922,0.770226447221074,0.267627987644073,0.61012767184219,0.031744431045837,0.0381692567347968,0.0681337701920178,0.0681337701920178,0.0681337701920178,0.36730928865385,0.36730928865385,0.804200606190229,0.327017886217512,0.326592112409551,0.0859231275260556,0.579696409898328,0.768090610337855,0.745366356767242,0.757510116844879,0.668711743989518,0.271052068616578,0.0266749997314004,0.0266749997314004,0.0880224014009718,0.0676669728958114,0.0676669728958114,0.0676669728958114,0.0676669728958114,0.0489683642126524,0.860310821269194,0.890966035049816,0.246931920428673,0.27793162602445,0.704785681295927,0.392158144276558,0.275374586150042,0.275374586150042,0.483444705578165,0.394979740191404,0.353927504732381,0.287996071146745,0.287996071146745,0.443719385459515,0.295282866363543,0.544636028331037,0.390289280340745,0.738052272546056,0.804859011979443,0.771470829335904
Atf6,0.762792451901886,0.191380931609817,0.833050696279067,0.139754920010044,0.192971869245782,0.930925521857946,0.901659559080939,1,1,0.646078914565074,0.426443400541392,0.588806417202149,0.588806417202149,0.447092589877827,0.447092589877827,0.876127721870643,0.0927282571393095,0.801183318978904,0.256124610175399,0.585137769310952,0.0173954658580415,0.0196238354285199,0.0170974049619805,0.0170974049619805,0.0170974049619805,0.158420089961992,0.158420089961992,0.868916519248362,0.433608112143356,0.317841691357426,0.0585371692677658,0.580080018986268,0.872134309793526,0.792998639045831,0.740328259249621,0.699472034797838,0.354219219222582,0.00638001818742092,0.00638001818742092,0.0204519299779674,0.0275249713265225,0.0275249713265225,0.0275249713265225,0.0275249713265225,0.018418480052203,0.974783713292203,0.992312698046689,0.134080180709789,0.356100811557538,0.348913631024166,0.391800477052771,0.328653803293739,0.328653803293739,0.51552060129385,0.435970866212089,0.176211940889487,0.123107237926123,0.123107237926123,0.580486800173049,0.215353504780076,0.570681708891601,0.197762016227239,0.736330737387117,0.9543903929235,0.393120359507771
Fmn2,0.789777504593006,0.191380931609817,0.853215033328913,0.139754920010044,0.192971869245782,0.930925521857946,0.901659559080939,1,1,0.682109121277284,0.471256624008742,0.588806417202149,0.588806417202149,0.447092589877827,0.447092589877827,0.876127721870643,0.106712239056313,0.801183318978904,0.256124610175399,0.585137769310952,0.0173954658580415,0.0297890693928334,0.0170974049619805,0.0170974049619805,0.0170974049619805,0.158420089961992,0.158420089961992,0.868916519248362,0.465678703567519,0.363544861949655,0.080042530169964,0.631083002325304,0.886062706044508,0.817514374413443,0.770350655694674,0.699472034797838,0.387714278191829,0.00638001818742092,0.00638001818742092,0.0191514984732998,0.0275249713265225,0.0275249713265225,0.0275249713265225,0.0275249713265225,0.0341000010635176,0.975800536472698,0.995352065254483,0.169317364624444,0.356100811557538,0.398636279258189,0.391800477052771,0.328653803293739,0.328653803293739,0.51552060129385,0.435970866212089,0.176211940889487,0.159490022671006,0.159490022671006,0.580486800173049,0.215353504780076,0.570681708891601,0.197762016227239,0.736330737387117,0.9543903929235,0.393120359507771
Clic3,0.543493771730636,0.598657629048739,0.730393682941363,0.548519617632574,0.54575453749283,0.666759149346089,0.641560799609822,0.646078914565074,0.682109121277284,1,0.408528870573427,0.779289125437798,0.779289125437798,0.755037824612569,0.755037824612569,0.883495300950658,0.275404057373891,0.746998616429406,0.292208443023221,0.469493674466551,0.0857479580786617,0.110335368913608,0.0590524260009411,0.0590524260009411,0.0849900621986339,0.31592335389007,0.31592335389007,0.539826553660572,0.243344344866226,0.334874685180654,0.128496348444715,0.438805214729962,0.928678892995715,0.912139237682816,0.720067109963082,0.950375853350737,0.140423884598079,0.063888312933592,0.063888312933592,0.175188221853909,0.0628174460047139,0.0628174460047139,0.0628174460047139,0.0628174460047139,0.0553535828275793,0.393271393248488,0.323374035922765,0.506482809070286,0.588625161396874,0.676025288503186,0.245682240312149,0.232405474382075,0.265821739115196,0.865083128024186,0.677477764648529,0.726145974338162,0.591715268769572,0.591715268769572,0.400873354439772,0.447567560964943,0.462396199432218,0.411972316872764,0.862860940694917,0.827965349572448,0.524526830889723
