,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Arfgef1,1,0.42407770032122,0.060557663927189,0.42407770032122,0.343608915805817,0.892215421455035,0.892215421455035,0.892215421455035,0.892215421455035,0.448795318603516,0.060557663927189,0.71322158690387,0.892215421455035,0.968927064834105,0.892215421455035,0.42407770032122,1,0.343608915805817,0.501763501110994,0.42407770032122,0.71322158690387,0.71322158690387,0.892215421455035,0.892215421455035,0.71322158690387,0.42407770032122,0.42407770032122,0.501763501110994,0.932652771472931,0.736304819583893,0.932652771472931,0.932652771472931,0.932652771472931,0.736304819583893,0.736304819583893,0.736578932665401,0.392695903778076,0.42407770032122,0.42407770032122,0.42407770032122,0.42407770032122,0.42407770032122,0.42407770032122,0.42407770032122,0.13493381373857,0.448795318603516,0.448795318603516,0.833477020263672,0.13493381373857,0.343608915805817,0.71322158690387,0.42407770032122,0.71322158690387,0.736578932665401,0.501763501110994,0.176240083250377,0.060557663927189,0.060557663927189,0.960851630558181,0.15421007284408,0.71322158690387,0.501763501110994,0.242230655708756,0.343608915805817,0.42407770032122
Myo1b,0.42407770032122,1,0.00162606857065967,0.106928879870288,0.303521248093676,0.843934848215476,0.843934848215476,0.843934848215476,0.843934848215476,0.242230655708756,0.0593837280031465,0.472872815541684,0.472872815541684,0.683994316890565,0.683994316890565,0.261751314192802,0.42407770032122,0.110468128260975,0.328356048036908,0.0283267209065508,0.106928879870288,0.0283267209065508,0.261751314192802,0.261751314192802,0.261751314192802,0.0283267209065508,0.0283267209065508,0.0593837280031465,0.552525156538234,0.303521248093676,0.552525156538234,0.552525156538234,0.303521248093676,0.110468128260975,0.110468128260975,0.328356048036908,0.132820916677419,0.261751314192802,0.261751314192802,0.00362318523223324,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.0283267209065508,0.060557663927189,0.060557663927189,0.501763501110994,0.0283267209065508,0.019599184046302,0.472872815541684,0.261751314192802,0.472872815541684,0.527718223048869,0.328356048036908,0.0692050660339212,0.0141066727948137,0.0141066727948137,0.852447109017226,0.181406642610526,0.472872815541684,0.16259286640736,0.0593837280031465,0.303521248093676,0.472872815541684
Gm973,0.060557663927189,0.00162606857065967,1,0.00162606857065967,0.00879602204842905,0.16259286640736,0.16259286640736,0.328356048036908,0.328356048036908,0.241595322892362,0.0206342387695871,0.0141066727948137,0.0141066727948137,0.0141066727948137,0.0141066727948137,0.16259286640736,0.242230655708756,0.0571170262885003,0.068421303036211,0.16259286640736,0.0141066727948137,0.0593837280031465,0.16259286640736,0.16259286640736,0.16259286640736,0.16259286640736,0.16259286640736,0.166167570854305,0.0571170262885003,0.0571170262885003,0.0571170262885003,0.181406642610526,0.181406642610526,0.181406642610526,0.181406642610526,0.068421303036211,0.0111949371525461,0.527718223048869,0.527718223048869,0.16259286640736,0.00162606857065967,0.00162606857065967,0.00162606857065967,0.00162606857065967,0.00162606857065967,0.465148890443931,0.241595322892362,0.685889544373936,0.0141066727948137,0.0571170262885003,0.16259286640736,0.16259286640736,0.16259286640736,0.068421303036211,0.00403452170854936,0.0212085277134875,0.068421303036211,0.068421303036211,0.068421303036211,0.185789571360289,0.0141066727948137,0.0206342387695871,0.0206342387695871,0.0571170262885003,0.328356048036908
Cyp20a1,0.42407770032122,0.106928879870288,0.00162606857065967,1,0.303521248093676,0.843934848215476,0.843934848215476,0.843934848215476,0.843934848215476,0.242230655708756,0.0593837280031465,0.683994316890565,0.683994316890565,0.843934848215476,0.843934848215476,0.472872815541684,0.42407770032122,0.110468128260975,0.328356048036908,0.0283267209065508,0.106928879870288,0.0283267209065508,0.261751314192802,0.261751314192802,0.261751314192802,0.0283267209065508,0.0283267209065508,0.0593837280031465,0.552525156538234,0.303521248093676,0.770318366728116,0.770318366728116,0.552525156538234,0.303521248093676,0.303521248093676,0.328356048036908,0.132820916677419,0.472872815541684,0.472872815541684,0.00362318523223324,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.0283267209065508,0.060557663927189,0.060557663927189,0.501763501110994,0.0283267209065508,0.019599184046302,0.472872815541684,0.261751314192802,0.472872815541684,0.527718223048869,0.328356048036908,0.0692050660339212,0.0141066727948137,0.0141066727948137,0.935587503197374,0.181406642610526,0.472872815541684,0.16259286640736,0.0593837280031465,0.303521248093676,0.683994316890565
Cxcr1,0.343608915805817,0.303521248093676,0.00879602204842905,0.303521248093676,1,0.770318366728116,0.770318366728116,0.552525156538234,0.770318366728116,0.15421007284408,0.0571170262885003,0.552525156538234,0.770318366728116,0.770318366728116,0.552525156538234,0.552525156538234,0.343608915805817,0.0499093162361532,0.380419471297095,0.019599184046302,0.110468128260975,0.110468128260975,0.303521248093676,0.303521248093676,0.110468128260975,0.019599184046302,0.019599184046302,0.0571170262885003,0.520129320444539,0.231397738913074,0.520129320444539,0.520129320444539,0.520129320444539,0.520129320444539,0.520129320444539,0.181406642610526,0.13493381373857,0.303521248093676,0.303521248093676,0.019599184046302,0.110468128260975,0.110468128260975,0.110468128260975,0.110468128260975,0.019599184046302,0.15421007284408,0.15421007284408,0.46263021853224,0.019599184046302,0.0499093162361532,0.303521248093676,0.110468128260975,0.552525156538234,0.181406642610526,0.00879602204842905,0.060557663927189,0.0571170262885003,0.0571170262885003,0.787545171418371,0.022399067481488,0.303521248093676,0.181406642610526,0.0571170262885003,0.0499093162361532,0.770318366728116
Zp3r,0.892215421455035,0.843934848215476,0.16259286640736,0.843934848215476,0.770318366728116,1,0.472872815541684,0.683994316890565,0.843934848215476,0.736578932665401,0.0593837280031465,0.843934848215476,0.937406587301463,0.937406587301463,0.843934848215476,0.683994316890565,0.42407770032122,0.552525156538234,0.935587503197374,0.683994316890565,0.472872815541684,0.472872815541684,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.713994447329885,0.770318366728116,0.552525156538234,0.970487277106031,0.970487277106031,0.970487277106031,0.906989691064539,0.906989691064539,0.328356048036908,0.132820916677419,0.683994316890565,0.683994316890565,0.106928879870288,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.736578932665401,0.501763501110994,0.887531710093233,0.472872815541684,0.552525156538234,0.683994316890565,0.683994316890565,0.843934848215476,0.16259286640736,0.0593837280031465,0.0111949371525461,0.0593837280031465,0.0593837280031465,0.935587503197374,0.905611412124874,0.472872815541684,0.852447109017226,0.713994447329885,0.303521248093676,0.843934848215476
Cacna1s,0.892215421455035,0.843934848215476,0.16259286640736,0.843934848215476,0.770318366728116,0.472872815541684,1,0.843934848215476,0.937406587301463,0.736578932665401,0.0593837280031465,0.843934848215476,0.937406587301463,0.979893741431456,0.937406587301463,0.683994316890565,0.42407770032122,0.552525156538234,0.935587503197374,0.683994316890565,0.472872815541684,0.472872815541684,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.713994447329885,0.770318366728116,0.552525156538234,0.970487277106031,0.970487277106031,0.970487277106031,0.906989691064539,0.906989691064539,0.328356048036908,0.132820916677419,0.683994316890565,0.683994316890565,0.106928879870288,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.736578932665401,0.501763501110994,0.887531710093233,0.472872815541684,0.552525156538234,0.472872815541684,0.683994316890565,0.843934848215476,0.16259286640736,0.16259286640736,0.0111949371525461,0.0593837280031465,0.0593837280031465,0.935587503197374,0.905611412124874,0.261751314192802,0.852447109017226,0.713994447329885,0.303521248093676,0.843934848215476
Atf6,0.892215421455035,0.843934848215476,0.328356048036908,0.843934848215476,0.552525156538234,0.683994316890565,0.843934848215476,1,0.683994316890565,0.736578932665401,0.0593837280031465,0.683994316890565,0.843934848215476,0.937406587301463,0.843934848215476,0.937406587301463,0.13493381373857,0.770318366728116,0.935587503197374,0.683994316890565,0.261751314192802,0.261751314192802,0.683994316890565,0.683994316890565,0.683994316890565,0.472872815541684,0.472872815541684,0.328356048036908,0.552525156538234,0.770318366728116,0.906989691064539,0.906989691064539,0.906989691064539,0.770318366728116,0.770318366728116,0.0593837280031465,0.346011740586029,0.472872815541684,0.472872815541684,0.106928879870288,0.472872815541684,0.472872815541684,0.472872815541684,0.472872815541684,0.261751314192802,0.960851630558181,0.887531710093233,0.887531710093233,0.261751314192802,0.552525156538234,0.472872815541684,0.472872815541684,0.843934848215476,0.16259286640736,0.0593837280031465,0.0692050660339212,0.16259286640736,0.16259286640736,0.935587503197374,0.905611412124874,0.261751314192802,0.713994447329885,0.527718223048869,0.552525156538234,0.683994316890565
Fmn2,0.892215421455035,0.843934848215476,0.328356048036908,0.843934848215476,0.770318366728116,0.843934848215476,0.937406587301463,0.683994316890565,1,0.736578932665401,0.0593837280031465,0.683994316890565,0.843934848215476,0.937406587301463,0.843934848215476,0.937406587301463,0.13493381373857,0.906989691064539,0.935587503197374,0.843934848215476,0.472872815541684,0.261751314192802,0.843934848215476,0.843934848215476,0.843934848215476,0.683994316890565,0.683994316890565,0.527718223048869,0.552525156538234,0.770318366728116,0.906989691064539,0.906989691064539,0.906989691064539,0.770318366728116,0.770318366728116,0.16259286640736,0.346011740586029,0.683994316890565,0.683994316890565,0.106928879870288,0.683994316890565,0.683994316890565,0.683994316890565,0.683994316890565,0.261751314192802,0.960851630558181,0.887531710093233,0.887531710093233,0.472872815541684,0.552525156538234,0.683994316890565,0.683994316890565,0.843934848215476,0.328356048036908,0.16259286640736,0.209809247177705,0.16259286640736,0.16259286640736,0.976326311596056,0.965215843052245,0.472872815541684,0.852447109017226,0.713994447329885,0.770318366728116,0.683994316890565
Clic3,0.448795318603516,0.242230655708756,0.241595322892362,0.242230655708756,0.15421007284408,0.736578932665401,0.736578932665401,0.736578932665401,0.736578932665401,1,0.465148890443931,0.736578932665401,0.887531710093233,0.960851630558181,0.887531710093233,0.736578932665401,0.448795318603516,0.46263021853224,0.685889544373936,0.242230655708756,0.501763501110994,0.501763501110994,0.501763501110994,0.501763501110994,0.242230655708756,0.242230655708756,0.242230655708756,0.465148890443931,0.912671859689453,0.749020353814103,0.976963522711913,0.912671859689453,0.912671859689453,0.749020353814103,0.46263021853224,0.241595322892362,0.503543095001078,0.887531710093233,0.887531710093233,0.501763501110994,0.242230655708756,0.242230655708756,0.242230655708756,0.242230655708756,0.242230655708756,0.919161200523376,0.919161200523376,0.919161200523376,0.242230655708756,0.46263021853224,0.242230655708756,0.242230655708756,0.501763501110994,0.241595322892362,0.0836382081479475,0.196021290777139,0.685889544373936,0.685889544373936,0.939043412310544,0.682099038245219,0.242230655708756,0.685889544373936,0.465148890443931,0.46263021853224,0.736578932665401
Pkn3,0.060557663927189,0.0593837280031465,0.0206342387695871,0.0593837280031465,0.0571170262885003,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.465148890443931,1,0.328356048036908,0.527718223048869,0.852447109017226,0.713994447329885,0.527718223048869,0.060557663927189,0.181406642610526,0.317229984754996,0.0593837280031465,0.16259286640736,0.16259286640736,0.0593837280031465,0.0593837280031465,0.0141066727948137,0.0141066727948137,0.0141066727948137,0.166167570854305,0.181406642610526,0.0571170262885003,0.602907035343409,0.602907035343409,0.602907035343409,0.380419471297095,0.181406642610526,0.0206342387695871,0.0111949371525461,0.328356048036908,0.328356048036908,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.0593837280031465,0.685889544373936,0.465148890443931,0.685889544373936,0.0593837280031465,0.181406642610526,0.0593837280031465,0.0593837280031465,0.16259286640736,0.0206342387695871,0.00403452170854936,0.0212085277134875,0.068421303036211,0.068421303036211,0.678685898378059,0.363020231684544,0.0141066727948137,0.317229984754996,0.166167570854305,0.0571170262885003,0.16259286640736
Lrrc55,0.71322158690387,0.472872815541684,0.0141066727948137,0.683994316890565,0.552525156538234,0.843934848215476,0.843934848215476,0.683994316890565,0.683994316890565,0.736578932665401,0.328356048036908,1,0.683994316890565,0.979893741431456,0.937406587301463,0.937406587301463,0.13493381373857,0.303521248093676,0.713994447329885,0.472872815541684,0.261751314192802,0.261751314192802,0.843934848215476,0.843934848215476,0.683994316890565,0.683994316890565,0.683994316890565,0.328356048036908,0.303521248093676,0.552525156538234,0.552525156538234,0.552525156538234,0.552525156538234,0.552525156538234,0.303521248093676,0.328356048036908,0.132820916677419,0.683994316890565,0.683994316890565,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.261751314192802,0.0283267209065508,0.736578932665401,0.887531710093233,0.887531710093233,0.683994316890565,0.552525156538234,0.261751314192802,0.472872815541684,0.683994316890565,0.527718223048869,0.16259286640736,0.42178542249926,0.16259286640736,0.16259286640736,0.713994447329885,0.602907035343409,0.683994316890565,0.527718223048869,0.328356048036908,0.303521248093676,0.843934848215476
