,Arfgef1,Myo1b,Gm973,Cyp20a1,Cxcr1,Zp3r,Cacna1s,Atf6,Fmn2,Clic3,Pkn3,Lrrc55,Olfr1225,Lgr4,Mertk,Spinlw1,4930443G12Rik,Usp24,Akap9,Scarb1,Clcn1,Kbtbd2,Alms1,Tprkb,Zfp9,Fkbp4,Clec12a,Tmtc1,Crxos1,Herc2,Ttll13,St5,Acsm1,Acadsb,Muc5b,Efha2,Ntpcr,Dpy19l2,Ncapd3,Mpzl2,Mmp11,Ap3d1,Ric8b,Utp20,Ptprq,Osbp2,Abca13,Adamts2,Hic1,Plekhm1,Itgb1bp1,Fancm,Ppp1r36,Vmn1r200,Cntnap3,Naip1,Psme1,Dpysl2,2410089E03Rik,Zdhhc8,Dvl3,Prss41,Col11a2,Spink10,Olfr1475
Arfgef1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myo1b,1,1,1,0.131141946315024,1,1,1,1,0.992563753072267,1,1,0.992563753072267,0.131141946315024,0.131141946315024,0.992563753072267,0.992563753072267,1,1,0.992563753072267,1,0.02832576421454,0.02832576421454,0.02832576421454,0.02832576421454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992563753072267,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,0.992563753072267
Gm973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91429770563207,0.91429770563207,0.91429770563207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91429770563207,0.91429770563207,1,1,1,1,1,1,1,1,1,1,1,1
Cyp20a1,1,0.131141946315024,1,1,1,1,1,1,0.992563753072267,1,1,0.992563753072267,0.131141946315024,0.131141946315024,0.992563753072267,0.992563753072267,1,1,0.992563753072267,1,0.02832576421454,0.02832576421454,0.02832576421454,0.02832576421454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992563753072267,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,0.992563753072267
Cxcr1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zp3r,1,1,1,1,1,1,0.474552925582586,0.592293756240086,0.592293756240086,1,0.877745147618195,0.554271383173984,0.554271383173984,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,0.554271383173984,0.554271383173984,0.554271383173984,0.554271383173984,1,1,0.877745147618195,0.877745147618195,1,0.617126165728085,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,1,1,1,1,0.617126165728085,1,1,1,0.877745147618195,0.877745147618195,0.620240738377114,1,0.932250167238095,1,1,1,0.592293756240086
Cacna1s,1,1,1,1,1,0.474552925582586,1,0.592293756240086,0.592293756240086,1,0.877745147618195,0.554271383173984,0.554271383173984,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,0.554271383173984,0.554271383173984,0.554271383173984,0.554271383173984,1,1,0.877745147618195,0.877745147618195,1,0.617126165728085,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,1,1,1,1,0.617126165728085,1,1,1,0.877745147618195,0.877745147618195,0.620240738377114,1,0.932250167238095,1,1,1,0.592293756240086
Atf6,1,1,1,1,1,0.592293756240086,0.592293756240086,1,0.230958657062818,1,0.877745147618195,0.554271383173984,0.554271383173984,0.944927479445712,0.944927479445712,1,1,1,1,1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,1,1,0.554271383173984,0.554271383173984,0.554271383173984,0.554271383173984,0.309888276667159,1,0.877745147618195,0.877745147618195,1,1,1,1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,0.105869615724328,0.944927479445712,0.944927479445712,1,0.877745147618195,0.877745147618195,0.554271383173984,1,1,1,1,1,0.592293756240086
Fmn2,1,0.992563753072267,1,0.992563753072267,1,0.592293756240086,0.592293756240086,0.230958657062818,1,1,0.877745147618195,0.673476747932848,0.673476747932848,0.954857146673546,0.954857146673546,0.992563753072267,1,1,0.992563753072267,1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,1,1,0.554271383173984,0.554271383173984,0.554271383173984,0.554271383173984,0.309888276667159,1,0.877745147618195,0.877745147618195,1,1,1,1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,0.216239363877642,0.944927479445712,0.944927479445712,1,0.877745147618195,0.877745147618195,0.554271383173984,1,1,1,1,1,0.641078021512418
Clic3,1,1,1,1,1,1,1,1,1,1,0.840896240467838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962943865813058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.856054261061484,0.840896240467838,0.840896240467838,1,1,1,1,1,0.840896240467838,1,1,1,1,1,0.962943865813058,1,0.962943865813058,0.962943865813058,1,1
Pkn3,1,1,1,1,1,0.877745147618195,0.877745147618195,0.877745147618195,0.877745147618195,0.840896240467838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.877745147618195,0.877745147618195,1,1,1,1,1,1,0.840896240467838,0.840896240467838,0.840896240467838,1,1,1,1,1,0.840896240467838,1,1,0.877745147618195,0.877745147618195,1,1,1,1,1,1,0.877745147618195
Lrrc55,1,0.992563753072267,1,0.992563753072267,1,0.554271383173984,0.554271383173984,0.554271383173984,0.673476747932848,1,1,1,0.596441722242869,0.812714743753924,0.812714743753924,0.844952387142334,1,1,0.992563753072267,1,1,1,1,1,1,1,1,1,1,1,0.767969788126447,0.533971008274681,0.533971008274681,0.521742289618859,0.521742289618859,1,1,0.780878186536825,0.780878186536825,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992563753072267,1,0.901659559080939,1,1,1,0.533971008274681,1,1,1,1,1,0.603680947183106
Olfr1225,1,0.131141946315024,1,0.131141946315024,1,0.554271383173984,0.554271383173984,0.554271383173984,0.673476747932848,1,1,0.596441722242869,1,0.393923012999867,0.812714743753924,0.844952387142334,1,1,0.992563753072267,1,0.02832576421454,0.02832576421454,0.02832576421454,0.02832576421454,1,1,1,1,1,1,0.767969788126447,0.533971008274681,0.533971008274681,0.521742289618859,0.521742289618859,1,1,0.780878186536825,0.780878186536825,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992563753072267,1,0.901659559080939,1,1,1,0.533971008274681,1,1,0.02832576421454,0.02832576421454,1,0.603680947183106
Lgr4,1,0.131141946315024,1,0.131141946315024,1,0.617126165728085,0.617126165728085,0.944927479445712,0.954857146673546,1,1,0.812714743753924,0.393923012999867,1,0.430185711788669,0.365634266091504,1,1,0.992563753072267,1,0.02832576421454,0.02832576421454,0.02832576421454,0.02832576421454,1,1,1,0.364134100644844,1,1,0.767969788126447,0.767969788126447,0.767969788126447,0.780878186536825,0.780878186536825,0.944927479445712,1,0.40851855749205,0.40851855749205,0.364134100644844,0.617126165728085,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,0.364134100644844,1,1,1,0.722053910652101,0.944927479445712,0.968130858692128,1,1,1,0.767969788126447,1,1,0.02832576421454,0.02832576421454,1,0.471070669491504
Mertk,1,0.992563753072267,1,0.992563753072267,1,0.617126165728085,0.617126165728085,0.944927479445712,0.954857146673546,1,1,0.812714743753924,0.812714743753924,0.430185711788669,1,0.365634266091504,1,1,0.992563753072267,1,1,1,1,1,1,1,1,0.364134100644844,1,1,0.767969788126447,0.767969788126447,0.767969788126447,0.780878186536825,0.780878186536825,0.944927479445712,1,0.40851855749205,0.40851855749205,0.364134100644844,0.617126165728085,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,0.364134100644844,1,1,1,0.722053910652101,0.944927479445712,0.968130858692128,1,1,1,0.767969788126447,1,1,1,1,1,0.471070669491504
Spinlw1,1,0.992563753072267,1,0.992563753072267,1,0.617126165728085,0.617126165728085,1,0.992563753072267,1,1,0.844952387142334,0.844952387142334,0.365634266091504,0.365634266091504,1,1,1,0.440651121228433,0.319605360657658,1,1,0.319605360657658,0.319605360657658,0.319605360657658,0.319605360657658,0.319605360657658,0.364134100644844,1,1,0.780878186536825,0.780878186536825,0.780878186536825,0.780878186536825,0.780878186536825,1,1,0.170681208413552,0.170681208413552,0.117774365132854,0.617126165728085,0.617126165728085,0.617126165728085,0.617126165728085,1,1,1,1,0.364134100644844,1,1,0.319605360657658,0.356811883404047,1,1,1,1,1,0.780878186536825,1,1,1,1,1,0.471070669491504
4930443G12Rik,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Usp24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Akap9,1,0.992563753072267,1,0.992563753072267,1,1,1,1,0.992563753072267,1,1,0.992563753072267,0.992563753072267,0.992563753072267,0.992563753072267,0.440651121228433,1,1,1,0.319605360657658,1,1,0.319605360657658,0.319605360657658,0.319605360657658,0.319605360657658,0.319605360657658,1,1,1,1,1,1,1,1,1,1,0.319605360657658,0.319605360657658,0.319605360657658,1,1,1,1,1,0.901677737470639,0.901677737470639,0.90071295913283,1,1,1,0.319605360657658,0.440651121228433,0.962943865813058,1,1,0.901677737470639,0.901677737470639,0.892596275950531,0.901677737470639,1,0.962943865813058,1,1,0.992563753072267
Scarb1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,1,1,0.319605360657658,1,3.88055821262929e-10,3.88055821262929e-10,0.0224395548808976,0.0224395548808976,0.0224395548808976,0.0224395548808976,0.0224395548808976,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,0.319605360657658,1,1,1,1,1,1,1,1,1,1,1,1
Clcn1,1,0.02832576421454,1,0.02832576421454,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,1,1,1,1,3.88055821262929e-10,1,6.96523334179718e-19,6.96523334179718e-19,6.96523334179718e-19,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,1
Kbtbd2,1,0.02832576421454,1,0.02832576421454,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,1,1,1,1,3.88055821262929e-10,6.96523334179718e-19,1,6.96523334179718e-19,6.96523334179718e-19,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02832576421454,0.02832576421454,1,1
Alms1,1,0.02832576421454,1,0.02832576421454,1,0.932250167238095,0.932250167238095,1,1,1,1,1,0.02832576421454,0.02832576421454,1,0.319605360657658,1,1,0.319605360657658,0.0224395548808976,6.96523334179718e-19,6.96523334179718e-19,1,0.00467987672453672,0.112270608682063,0.0224395548808976,0.0224395548808976,3.88055821262929e-10,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,0.319605360657658,1,1,1,1,1,0.932250167238095,1,0.932250167238095,0.02832576421454,0.02832576421454,1,1
Tprkb,1,0.02832576421454,1,0.02832576421454,1,0.932250167238095,0.932250167238095,1,1,1,1,1,0.02832576421454,0.02832576421454,1,0.319605360657658,1,1,0.319605360657658,0.0224395548808976,6.96523334179718e-19,6.96523334179718e-19,0.00467987672453672,1,0.112270608682063,0.0224395548808976,0.0224395548808976,3.88055821262929e-10,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,0.319605360657658,1,1,1,1,1,0.932250167238095,1,0.932250167238095,0.02832576421454,0.02832576421454,1,1
Zfp9,1,1,0.91429770563207,1,1,0.932250167238095,0.932250167238095,1,1,1,1,1,1,1,1,0.319605360657658,1,1,0.319605360657658,0.0224395548808976,3.88055821262929e-10,3.88055821262929e-10,0.112270608682063,0.112270608682063,1,0.0816374359504492,0.0816374359504492,3.88055821262929e-10,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.553181629644746,0.553181629644746,1,1,1,1,1,0.932250167238095,1,0.932250167238095,1,1,1,1
Fkbp4,1,1,0.91429770563207,1,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,1,1,0.319605360657658,0.0224395548808976,3.88055821262929e-10,3.88055821262929e-10,0.0224395548808976,0.0224395548808976,0.0816374359504492,1,0.0816374359504492,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.553181629644746,0.553181629644746,1,1,1,1,1,1,1,1,1,1,1,1
Clec12a,1,1,0.91429770563207,1,1,1,1,1,1,1,1,1,1,1,1,0.319605360657658,1,1,0.319605360657658,0.0224395548808976,3.88055821262929e-10,3.88055821262929e-10,0.0224395548808976,0.0224395548808976,0.0816374359504492,0.0816374359504492,1,3.88055821262929e-10,1,1,1,1,1,1,1,1,1,0.0224395548808976,0.0224395548808976,0.0224395548808976,1,1,1,1,1,1,1,1,1,1,1,0.553181629644746,0.553181629644746,1,1,1,1,1,1,1,1,1,1,1,1
Tmtc1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,0.962943865813058,1,1,1,0.364134100644844,0.364134100644844,0.364134100644844,1,1,1,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,3.88055821262929e-10,1,0.105869615724328,1,1,1,1,1,1,0.105869615724328,1,0.0173798999446553,0.0173798999446553,0.0173798999446553,1,1,1,1,1,0.962943865813058,1,1,0.364134100644844,1,0.105869615724328,0.105869615724328,0.105869615724328,1,1,1,1,1,1,0.962943865813058,1,0.962943865813058,0.962943865813058,1,0.364134100644844
Crxos1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.105869615724328,0.105869615724328,1,1,1,1,1,1,1,1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,1,1,0.105869615724328,1,0.932250167238095,0.932250167238095,1,1,1,1,0.105869615724328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.105869615724328,0.105869615724328,0.105869615724328,1,1,1,1,1,0.932250167238095,1,0.932250167238095,1,1,1,1
Herc2,1,1,1,1,1,0.932250167238095,0.932250167238095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,0.932250167238095,1,0.932250167238095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.932250167238095,1,0.932250167238095,1,1,1,1
Ttll13,1,1,1,1,1,0.932250167238095,0.932250167238095,1,1,1,1,0.767969788126447,0.767969788126447,0.767969788126447,0.767969788126447,0.780878186536825,1,1,1,1,1,1,0.932250167238095,0.932250167238095,0.932250167238095,1,1,1,0.932250167238095,0.932250167238095,1,0.767969788126447,0.767969788126447,0.780878186536825,0.780878186536825,1,1,0.780878186536825,0.780878186536825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.901659559080939,1,1,1,0.761199337677442,1,0.932250167238095,1,1,1,0.780878186536825
