Gene chr pos REF HET VAR lethal additive recessive dominant TDT Penetrance_REF Penetrance_HET Penetrance_VAR Semidominance NMISS lethalCount
Bag2 1 33746978 48 28 4 0.630186175229028 0.694743612732365 0.1844224017054 0.910901777386972 NA NA NA NA 0 0 4:16:0:0
Dst 1 34271413 77 3 0 0.392695903778076 0.524962730626784 1 0.524962730626784 NA NA NA NA NA 0 0:0:0:7
Tgfbrap1 1 43059129 74 3 3 0.98875218629837 0.193256150978611 0.207604619532612 0.248698889202267 NA NA NA NA 0.304270603913834 0 0:0:3:8
Slc40a1 1 45912491 76 2 2 0.975511961049051 0.196198937664946 0.15845474687604 0.298633545682268 NA NA NA NA 0.0461149029058309 0 2:6:3:8
Als2 1 59215565 76 2 2 0.975511961049051 0.196198937664946 0.15845474687604 0.298633545682268 NA NA NA NA 0.0461149029058309 0 2:6:3:8
Crygf 1 65927997 78 2 0 0.392695903778076 0.511513405811449 1 0.511513405811449 NA NA NA NA NA 0 0:0:0:7
Ankar 1 72656221 73 6 1 0.4449462890625 0.248202519089343 0.697123085185286 0.218305970923677 NA NA NA NA 1 0 1:7:0:0
Atg16l1 1 87781699 72 7 1 0.4449462890625 0.30835923324172 0.697123085185286 0.292331567352313 NA NA NA NA 0.918759012639723 0 1:7:0:0
Epb4.1l5 1 119623958 76 4 0 0.343608915805817 0.880510124416392 1 0.880510124416392 NA NA NA NA NA 0 0:0:0:8
Cdk18 1 132118872 76 4 0 0.343608915805817 0.880510124416392 1 0.880510124416392 NA NA NA NA NA 0 0:0:0:8
5730559C18Rik 1 136227618 79 1 0 0.392695903778076 0.39647457711624 1 0.39647457711624 NA NA NA NA NA 0 0:0:0:7
Ptprc 1 138073610 79 1 0 0.392695903778076 0.39647457711624 1 0.39647457711624 NA NA NA NA NA 0 0:0:0:7
Lamc2 1 153143876 72 6 2 0.525592803955078 0.323710841044603 0.71547398628321 0.263379960356499 NA NA NA NA 1 0 2:10:0:0
Prrx1 1 163248405 77 3 0 0.343608915805817 0.768303231360423 1 0.768303231360423 NA NA NA NA NA 0 0:0:0:8
Copa 1 172112137 53 24 3 0.225156047664314 0.294726747567032 0.440285035369761 0.12107067125354 NA NA NA NA 0 0 3:20:0:0
Plxna2 1 194751386 51 27 2 0.111344774744794 0.434435123320759 0.973800213132431 0.389100016846689 NA NA NA NA 1 0 2:19:0:0
Frmd4a 2 4572387 79 1 0 0.98875218629837 0.481477717277796 1 0.481477717277796 NA NA NA NA NA 0 0:0:3:8
Cacna1b 2 24659003 76 4 0 0.771671693102689 0.221665451471631 1 0.221665451471631 NA NA NA NA NA 0 0:6:3:8
Tprn 2 25264321 55 23 2 0.600677490234375 0.282293688703992 0.000193572786509201 0.99591598633671 NA NA NA NA 0 0 2:9:0:0
Npdc1 2 25408009 69 1 0 0.669921875 0.236508686412422 1 0.236508686412422 NA NA NA NA NA 10 0:0:0:3
1700026L06Rik 2 28693660 76 4 0 0.771671693102689 0.221665451471631 1 0.221665451471631 NA NA NA NA NA 0 0:6:3:8
Gm13547 2 29761584 76 4 0 0.392695903778076 0.661779467709767 1 0.661779467709767 NA NA NA NA NA 0 0:0:0:7
Hmcn2 2 31415236 57 21 2 0.455200910568237 0.308855149112328 0.00521346177650865 0.83151336916669 NA NA NA NA 0 0 2:11:0:0
Prrc2b 2 32229255 69 6 5 0.990005493164063 0.38975774282614 0.511718871175235 0.385557201091281 NA NA NA NA 0.758747876907812 0 5:9:0:0
Cdk9 2 32709824 76 4 0 0.343608915805817 0.682721288287146 1 0.682721288287146 NA NA NA NA NA 0 0:0:0:8
Ttn 2 76763227 72 5.5 2.5 0.75640869140625 0.207917682732453 0.57590619071187 0.178817126549352 NA NA NA NA 1 0 0:0:3:8
Tnks1bp1 2 85062630 72 7 1 0.533935546875 0.501072107748419 0.608021466409244 0.324969360730295 NA NA NA NA 0 0 1:6:0:0
Olfr1120 2 87357682 77 3 0 0.343608915805817 0.276816749998057 1 0.276816749998057 NA NA NA NA NA 0 0:0:0:8
Olfr1212 2 88959043 54 20 6 0.470830904999427 0.704525814344499 0.267753047686551 0.907443177809606 NA NA NA NA 0 0 6:27:0:0
Olfr1240 2 89440138 74 3 3 0.98875218629837 0.419455526387015 0.818859768570825 0.265624542739381 NA NA NA NA 1 0 0:0:3:8
Tcp11l1 2 104697505 76 4 0 0.253356448418344 0.337701010222718 1 0.337701010222718 NA NA NA NA NA 0 0:6:1:8
Kcna4 2 107295582 71 5 4 0.793961897492409 0.273613253305047 0.333301881436776 0.309029297107184 NA NA NA NA 0.449171280980079 0 4:13:0:0
Olfr1303 2 111814711 77 3 0 0.343608915805817 0.276816749998057 1 0.276816749998057 NA NA NA NA NA 0 0:0:0:8
Plcb2 2 118717240 76 4 0 0.253356448418344 0.337701010222718 1 0.337701010222718 NA NA NA NA NA 0 0:6:1:8
Mga 2 119935422 50 26 4 0.158316330011462 0.460202032141182 0.496208911162282 0.556227356068909 NA NA NA NA 0.256749142952868 0 4:27:0:0
Tmem87a 2 120359542 76 4 0 0.392695903778076 0.793745418596877 1 0.793745418596877 NA NA NA NA NA 0 0:0:0:7
Cdan1 2 120726045 71 5 4 0.793961897492409 0.273613253305047 0.333301881436776 0.309029297107184 NA NA NA NA 0.449171280980079 0 4:13:0:0
Ttbk2 2 120777581 76 4 0 0.253356448418344 0.337701010222718 1 0.337701010222718 NA NA NA NA NA 0 0:6:1:8
Shf 2 122368635 74 3 3 0.98875218629837 0.419455526387015 0.818859768570825 0.265624542739381 NA NA NA NA 1 0 0:0:3:8
Ap4e1 2 127049280 76 4 0 0.392695903778076 0.793745418596877 1 0.793745418596877 NA NA NA NA NA 0 0:0:0:7
Plcb1 2 135294911 75 4 1 0.736304819583893 0.14201899673037 0.114429705448706 0.255597122975835 NA NA NA NA 0.163941884421092 0 0:0:1:8
Tm9sf4 2 153187365 74 6 0 1 0.517626284648033 1 0.517626284648033 NA NA NA NA NA 0 0:0:0:0
Plagl2 2 153236053 75 3 2 0.932652771472931 0.453666561057089 0.937392315717712 0.285747424970163 NA NA NA NA 1 0 0:0:2:8
